Date,Post_Type,Followers,Likes,Comments,Shares,Saves,Profile Visits,Follows,From Home,From Hashtags,From Explore,From Other,Impressions,Caption,Hashtags
2026-01-17,Carousel,122958,15845,865,1295,5227,5588,3445,44832,11294,6315,476,67443,By top feeling window somebody of player compare race make learn business when thus quite training.,#expert #floor #throw #indeed #leader #air
2025-05-26,Reel,279167,41140,1690,770,2392,4565,3386,2533,5321,37869,6430,53437,Clear matter particularly two standard also success reflect south speak individual surface individual remember building word too add appear focus natural think true collection carry will boy gun.,#material #marriage #very #institution #seek #image #you #together #clearly #school #manager #someone #fly #among
2025-08-12,Reel,157730,18992,2052,2748,976,7744,1268,289,19128,35823,4668,61907,Claim herself there stage whether in wait cover how increase against watch field war.,#miss #sport #let #easy #field
2026-03-26,Carousel,4890,41656,2893,2215,5394,7523,2613,10727,8802,8483,10243,41179,Meet try mouth college boy now ball word owner tree produce if partner box personal board product somebody defense least reduce painting kid.,#government #expect #last #across
2025-04-07,Image,252995,23533,1483,2557,776,1595,3944,45074,8236,14591,3162,73118,Apply and culture use cost how investment me.,#who #sound #suffer #up #movement #station
2025-05-27,Reel,460773,11703,2618,1130,3844,4307,1982,40857,9702,6923,5685,63428,Western table here hit hospital might analysis why play bring last might represent allow eye spend support decade rest scene rate million rate environment compare.,#a #whole #she #like #building #win
2024-12-14,Reel,426822,11584,4556,1276,1017,888,1077,24353,22833,24326,6873,78822,Want level color officer simple hold term thank home six sport career TV certain couple thus back politics water color support measure.,#approach #of #here #it #since #citizen #ground #read #Democrat #get #official #source #industry #actually #rich
2026-04-10,Reel,39044,49266,2573,1368,5249,5902,3562,2127,2705,5308,5628,16259,Catch certain company reduce financial several thousand always security business involve leg beat develop option increase school moment television.,#when #away #far #yes #next #seem #down #edge #energy
2025-02-02,Carousel,184323,22712,205,1864,4876,9006,2732,48133,19498,23649,12800,106634,Perform prevent try leave their election else day law much wall after man sure former real today current consider person Mr play available expert us.,#sport #senior #view #newspaper #especially #data #decide #notice #stay #college
2025-03-02,Reel,25538,42580,2695,1029,7386,216,1485,33370,6920,25496,6948,77322,Or half project cold our she much meet position season though value upon marriage senior share off study nature international garden position list nice room organization.,#true #among #federal #bag #first #truth #service #option #later
2024-08-01,Carousel,108059,45201,1762,2533,7575,1069,1723,6474,23286,1728,3252,39476,Kid young majority cause dark key such available school newspaper I over fish those onto.,#bad #discuss #become #brother
2025-08-07,Carousel,65044,42607,3065,2694,4892,5460,1664,29823,13941,3677,9565,59087,Raise price machine realize television choice item our brother.,#soldier #you #at #fast #want #building #discover #kitchen #during
2024-12-22,Carousel,162152,1356,4034,2681,2676,4423,3749,9574,7536,22009,5540,49503,Nor down radio something sit best local try organization herself financial be agent religious article recently.,#this #already #fill
2025-04-27,Reel,14545,713,2003,1632,1496,3591,3458,3404,20157,39403,12861,77216,Not produce say someone only agency method glass pressure rate fall population mission well spring time war evidence certainly recognize technology far make prove professional story stage east rule today.,#cultural #per #him #ask #lay
2025-03-31,Carousel,68172,20130,3004,699,2161,5259,1708,28773,4747,904,8174,46172,Western strong stock personal form way action wide worker century sea public approach offer only.,#meet #member #along #phone #property #worker #small #provide
2026-02-25,Image,184734,33020,3260,123,4497,7787,198,25442,4399,2377,8014,43263,Among none free drug determine miss serious style all energy agreement tell enter power security stand open will me exactly still family decade.,#hundred #rather #personal #ago #although #eat #arm #staff #method #enter #push #huge #street
2026-04-28,Reel,23671,25234,3277,1148,4283,2821,1370,44457,18905,15758,9996,89875,Soon it summer meet other process cut drop wait off family explain far picture board growth as staff billion.,#for #expect #only #simply #current
2025-01-19,Reel,143483,2961,1739,1844,489,4746,1803,19460,18353,5809,6704,52811,Light management realize growth these born involve claim second whom black.,#mouth #put #defense #city #recent #thought #almost #operation #send #over #leg #before
