Date,Posting_Hour,Post_Type,Followers,Likes,Comments,Shares,Saves,Profile Visits,Follows,From Home,From Hashtags,From Explore,From Other,Impressions,Caption,Hashtags
2024-06-13,19,Carousel,126958,4093,96,182,295,2591,137,22558,9325,7981,1606,41470,Expert win medical civil relationship camera character whose so old.,#always #ground #step #camera #while #expert #Republican #at #every #various #account #mouth #agency #garden
2025-03-23,21,Reel,189779,8432,180,261,488,2377,466,41359,11847,28543,22547,104296,Character guess spend third perhaps firm difficult indicate purpose north list.,#consider #office #hot #hot #professor #head #study #radio #admit #contain #teacher #employee #task #determine
2025-06-27,18,Reel,336236,14382,1100,467,819,3694,312,70191,35692,47945,22442,176270,Officer official stand both under perform when stay above around source while laugh his Democrat seek true grow feeling effect avoid career.,#road #student #end #long #local #feeling #phone #bit #a #note
2024-08-03,13,Carousel,111530,5483,169,220,327,1403,189,15391,9778,10366,7669,43204,Enjoy gas strong want either recent old activity.,#perhaps #film #create #but #west #never #eye #third #Republican #process #while #feeling
2025-07-11,15,Image,955110,28905,2245,1265,2379,10625,1466,110153,38754,41623,12312,202842,Picture church school cut worry service yes leg talk whatever civil budget call stock her this alone mention visit interesting.,#talk #standard #south #quite #site #fund #three #blue #as #six #control #whom #sound #behind #drug
2024-07-02,0,Reel,983732,24558,1115,633,1241,6252,499,147651,65545,81341,5405,299942,Tough mother any your decade news dinner whether her system cut break during.,#drop #week #give #name #interest #wish #well #much #explain #political #sometimes #enter
2025-07-22,8,Reel,855937,47485,2855,1739,3389,13915,1867,162705,93735,121969,3005,381414,Party college card describe writer beautiful long center cultural speech inside decision culture soldier like son child manager though industry amount natural moment exactly I.,#on #ready #do #chair #simply #nature #nearly
2025-01-21,8,Reel,620270,48095,1281,1326,2121,21459,2603,134629,59457,51757,45150,290993,Front region marriage discover western certain beautiful suddenly herself discuss board new.,#camera #color #stay #light #sort #area #couple #send #suffer
2025-06-15,10,Carousel,203286,14291,821,311,534,3648,301,33356,17897,16540,9188,76981,Section address soldier drive eye girl yard leave oil.,#time #network #major #institution #understand #edge #miss #better #follow
2025-12-20,0,Reel,392261,17000,1000,170,929,5777,431,68937,26065,43534,12371,150907,Throw data store class glass or fact material reflect on pressure executive total start with television hotel team arrive color.,#thus #possible #drop #effect #ok #movie #we #minute #until #over #sport #four
2024-12-30,14,Carousel,988703,39307,1738,495,1877,9310,1437,131706,32685,93486,9573,267450,Green state magazine one office onto same only technology two product or wonder spend accept memory vote article team option series nearly us decide huge western sign stay.,#card #determine #report #return #message #need #vote #with #student #share #race #artist #sort
2025-11-02,1,Carousel,230281,6638,145,158,493,3123,404,22562,9390,13784,5594,51330,Specific cup bill drive term any marriage around ability hard project study writer would cut data matter house.,#form #management #major #technology #unit #outside #wish #know #training
2024-08-02,16,Carousel,114751,4667,270,146,169,2099,205,11597,3177,8030,7139,29943,Sea fill development attention account possible subject budget then ok cut news short day.,#rich #available #especially #recently #experience #book #during #father #scene #individual #wife #pattern #hard
2026-04-23,2,Reel,994586,70740,2894,979,6779,17513,2235,206678,80409,118623,0,399346,Future compare may whose believe treatment agree attention support network suffer beyond next keep care meeting once six job.,#choice #source #meet #feeling
2024-06-30,6,Carousel,559594,28415,1471,559,1037,14308,2647,92367,29234,42604,29591,193796,Cold local reason personal article his food fly after statement government.,#finish #Democrat #too #government #community
2025-06-04,19,Image,803615,18520,550,850,1341,4224,275,99223,20711,37444,48181,205559,Never participant there process go rate any human book society you street.,#rich #miss #I #white
2025-08-31,2,Reel,7869,422,14,9,34,150,26,1228,472,430,421,2551,Thank pick important first fill attention career style Democrat safe health report night.,#check #during #mouth #movement #health
2025-06-19,5,Reel,121381,9100,447,420,549,1889,277,22296,10582,9034,4175,46087,Film move business whom major well page rather national part decade.,#challenge #page #rather #sport #director
