Date,Posting_Hour,Post_Type,Followers,Likes,Comments,Shares,Saves,Profile Visits,Follows,From Home,From Hashtags,From Explore,From Other,Impressions,Caption,Hashtags
2025-05-20,5,Carousel,126958,6004,335,167,222,1645,164,13096,6836,5579,9083,34594,Offer tough admit eight choice sister back happen ability trade most check food recognize reduce trip in local threat.,#military #what #better #over #allow #goal #Mr #yourself #give #form
2025-08-25,22,Reel,204041,9884,306,219,659,4457,417,45855,11738,20233,19250,97076,Beat give eat local ok radio safe wonder quickly return late right suddenly skin should religious.,#project #popular #kitchen #may #box
2024-11-20,11,Reel,333947,21588,652,272,2081,11003,1884,58016,16187,40498,26485,141186,Wish how read plant at money some activity approach general ability kitchen language.,#no #become #safe #husband #play #knowledge #be #hear #think #item #maintain #response #huge #order
2026-02-02,1,Carousel,261508,14381,437,368,614,5219,593,31288,14794,12485,21335,79902,Standard control reach social exist purpose beat drive set through determine position chance rule however section such some program because machine.,#hope #guy #popular #majority
2024-08-06,8,Image,566353,22772,576,406,755,4721,511,48294,26796,26442,17929,119461,Anyone word too when down against contain serious be third see against into never act that travel lead argue ahead head.,#mouth #station #message #story #leave #gun #agree #risk #continue #pattern #man #enjoy #popular #rate
2025-11-21,9,Reel,567332,49408,1209,2444,4153,8948,454,143825,57752,82916,0,280311,Form parent table question technology choose office more small without oil determine wonder there some thus.,#mother #read #marriage
2026-01-14,14,Reel,293998,25850,1214,357,1446,8540,1280,66508,20056,37248,18222,142034,Control challenge system hear hit develop best boy car trouble.,#outside #its #reduce #already #eight
2025-06-23,19,Reel,477525,40128,2540,780,1923,4948,774,82118,36604,41998,59923,220643,Figure teach check instead east quickly member describe sense one food term arm feeling.,#truth #economy #tax #produce #office #if #seven #fill #give
2026-05-01,11,Carousel,190340,7221,322,290,332,1617,151,25113,15732,20473,4382,65700,Anyone public black child authority others someone because with chance site fish another thus to.,#camera #our #change #arm #receive #political #away #red #bill #Mrs #account
2025-09-21,2,Reel,205235,12029,878,276,463,3829,712,37429,18246,13892,22983,92550,Economic stand upon often blue act at phone reason pass station mean mouth movement voice next people once dark use list.,#economic #we #student #money #now #ten #pass #forward #thousand #reflect #may #kitchen #as #our #hard
2024-10-17,6,Carousel,504046,21336,1313,443,1004,4647,384,71280,24795,25166,33173,154414,Computer capital dark those deep century that power hold seek around good building realize decision baby work later great young base Congress.,#coach #something #huge #participant #certainly #generation #community #arrive #argue #speak #husband #where
2024-08-19,5,Carousel,770313,30276,874,1511,1473,14380,1605,65248,27767,50658,39297,182970,Story age know high science check soldier relationship senior quickly great save high nor throw something change.,#full #leg #road #total
2024-07-22,15,Carousel,485671,15816,546,666,995,10048,1103,65280,27948,22911,11043,127182,Sure accept case cut long process office charge stock station style well appear professional.,#great #prove #good #enjoy #himself #someone #brother #follow #see #west #get #I #between
2024-11-22,0,Reel,20708,1737,68,32,138,650,66,3505,2288,2178,1522,9493,Put lose others hair often himself here under indicate.,#sometimes #service #member #left #education #science #opportunity #course #off
2025-04-25,4,Carousel,662162,32982,2395,670,2513,11923,1589,78746,23537,29123,41310,172716,Everyone reveal store upon audience perhaps certainly.,#film #could #small #message #energy #yard #last #perform #trouble #open #art #let #risk #music
2024-10-31,5,Image,296999,8518,343,204,688,4032,738,27634,10721,9111,7151,54617,Price kitchen TV eat agent chance easy outside budget.,#behind #player #plant #for #work #support #draw #election #yard #get
2026-02-20,6,Reel,189423,7094,210,226,556,5203,435,43342,11933,18930,13811,88016,Whether scene professional trade hundred price book land method quite form science.,#party #red #person #paper #land #commercial
2024-06-07,20,Reel,615704,29835,1567,905,2223,8934,1237,139214,44130,84485,0,255075,Response million result face about staff risk kind.,#development #receive #Republican #walk #street #down #rock #imagine #bad #budget #president #with #research
2025-08-11,8,Reel,845477,80487,2721,2412,5637,28967,1637,240501,74699,90219,32725,438144,Manage message these turn upon describe wrong building report.,#type #door #center #community #look #trial #home #take
2024-10-10,21,Reel,825260,80335,3670,3909,7828,29876,2813,179232,95559,89563,55374,419728,Congress no conference owner teacher town follow question protect moment second buy far medical site.,#speech #method #set #magazine
2025-10-02,17,Reel,988609,58598,2065,1278,3080,33776,2380,234219,87120,99683,55245,476267,This might material one choice third south.,#generation #direction #page #always #TV #staff #mother #point #other #white #sound #often
2024-06-27,1,Carousel,558880,21086,524,215,1559,4352,263,59027,14794,44999,18658,137478,Significant race week together force even under anything month agency indeed speak.,#mission #act #kitchen #look #current #American #soon #similar #color #indicate #letter #boy #ten #animal
2026-05-20,11,Carousel,671326,15886,1253,691,1433,5641,314,66161,29090,34692,31170,161113,President great whether boy million condition college save air other task look onto record.,#teacher #relate #note #she #either #sometimes #none #appear #cold #system
